accession,start,stop,strand,geneID,locus,locus_tag,protein_product,length,protein_name
NW_007930846.1,445042,446454,-,19887791,,BBA_04779,XP_008598098.1,438,putative secreted protein
NW_007930846.1,449667,450407,+,19887792,,BBA_04780,XP_008598099.1,246,hypothetical protein BBA_04780
NW_007930846.1,451757,452999,-,19887793,,BBA_04781,XP_008598100.1,395,putative aspartic protease
NW_007930846.1,454251,455394,-,19887794,,BBA_04782,XP_008598101.1,356,hypothetical protein BBA_04782
NW_007930846.1,458940,463058,-,19887795,,BBA_04783,XP_008598102.1,838,UDP-N-acetylmuramate--L-alanine ligase
NW_007930846.1,465300,467068,+,19887796,,BBA_04784,XP_008598103.1,558,C6 zinc finger domain protein
NW_007930846.1,469184,471103,+,19887797,,BBA_04785,XP_008598104.1,584,phosphatidylinositol transfer protein CSR1
NW_007930846.1,471866,473533,-,19887798,,BBA_04786,XP_008598105.1,367,hypothetical protein BBA_04786
NW_007930846.1,474518,476333,-,19887799,,BBA_04787,XP_008598106.1,540,GABA permease
NW_007930846.1,478859,480472,+,19887800,,BBA_04788,XP_008598107.1,506,integral membrane protein
NW_007930846.1,481566,482249,+,19887801,,BBA_04789,XP_008598108.1,227,GrpB domain protein
NW_007930849.1,633671,634826,-,19888564,,BBA_05552,XP_008598871.1,367,glycosyltransferase
NW_007930849.1,638021,640217,+,19888565,,BBA_05553,XP_008598872.1,696,copper amine oxidase
NW_007930849.1,640391,641364,-,19888566,,BBA_05554,XP_008598873.1,303,nicotinate-nucleotide diphosphorylase
NW_007930849.1,642322,643786,-,19888567,,BBA_05555,XP_008598874.1,412,epoxide hydrolase
NW_007930849.1,644931,646598,+,19888568,,BBA_05556,XP_008598875.1,555,TPR domain protein
NW_007930849.1,646940,648619,-,19888569,,BBA_05557,XP_008598876.1,559,"autophagy protein (Atg22), putative"
NW_007930849.1,649962,650852,-,19888570,,BBA_05558,XP_008598877.1,296,short-chain dehydrogenase/reductase SDR
NW_007930849.1,652786,653595,-,19888571,,BBA_05559,XP_008598878.1,269,"transcriptional regulator, putative"
NW_007930849.1,657806,658386,+,19888572,,BBA_05560,XP_008598879.1,168,hypothetical protein BBA_05560
NW_007930849.1,659386,660668,+,19888573,,BBA_05561,XP_008598880.1,410,RNA 3\\'-terminal phosphate cyclase
NW_007930849.1,661103,662541,+,19888574,,BBA_05562,XP_008598881.1,457,hypothetical protein BBA_05562
NW_007930849.1,663144,664616,-,19888575,,BBA_05563,XP_008598882.1,490,hypothetical protein BBA_05563
NW_007930849.1,665695,667275,-,19888576,,BBA_05564,XP_008598883.1,526,leucine Rich Repeat family protein
NW_007930849.1,668261,670562,-,19888577,,BBA_05565,XP_008598884.1,721,G2-specific protein kinase nim-1
NW_007930849.1,671176,673228,+,19888578,,BBA_05566,XP_008598885.1,648,BTB/POZ domain-containing protein
NW_007930849.1,673583,676109,-,19888579,,BBA_05567,XP_008598886.1,792,choline kinase
NW_007930849.1,677955,679263,-,19888580,,BBA_05568,XP_008598887.1,394,HAD superfamily hydrolase
NW_007930849.1,679957,680970,-,19888581,,BBA_05569,XP_008598888.1,285,protein sco1
NW_007930849.1,681340,682655,+,19888582,,BBA_05570,XP_008598889.1,418,PHD-finger domain-containing protein
NW_007930849.1,684089,685698,+,19888583,,BBA_05571,XP_008598890.1,456,60S ribosome biogenesis protein Sqt1
NW_007930849.1,686962,690211,-,19888584,,BBA_05572,XP_008598891.1,1064,glycine dehydrogenase
NW_007930849.1,691715,692038,+,19888585,,BBA_05573,XP_008598892.1,50,hypothetical protein BBA_05573
NW_007930849.1,692736,694024,-,19888586,,BBA_05574,XP_008598893.1,327,nucleoporin nup44
NW_007930849.1,694971,695784,+,19888587,,BBA_05575,XP_008598894.1,171,NADH-ubiquinone oxidoreductase 20.8 kDa subunit
NW_007930849.1,697133,698589,+,19888588,,BBA_05576,XP_008598895.1,462,hypothetical protein BBA_05576
NW_007930849.1,705053,706030,+,19888589,,BBA_05577,XP_008598896.1,289,SCP-like extracellular protein
NW_007930849.1,713286,713996,-,19888590,,BBA_05578,XP_008598897.1,54,hypothetical protein BBA_05578
NW_007930849.1,720615,721773,+,19888591,,BBA_05579,XP_008598898.1,281,UPF0311 protein
NW_007930849.1,722620,723302,-,19888592,,BBA_05580,XP_008598899.1,195,hypothetical protein BBA_05580
NW_007930850.1,460,1954,+,19888593,,BBA_05581,XP_008598900.1,478,Putative SNARE complex subunit Vam7
NW_007930850.1,2224,2919,-,19888594,,BBA_05582,XP_008598901.1,231,ribonucleotide reductase inhibitor
NW_007930850.1,3957,5145,-,19888595,,BBA_05583,XP_008598902.1,292,dienelactone hydrolase
NW_007930850.1,5582,8312,-,19888596,,BBA_05584,XP_008598903.1,874,Mitochondrial escape protein 2
NW_007930850.1,8961,9698,+,19888597,,BBA_05585,XP_008598904.1,245,Protein of unknown function DUF3128
NW_007930850.1,10148,12118,-,19888598,,BBA_05586,XP_008598905.1,656,heat shock protein 70-2
NW_007930850.1,14006,14983,-,19888599,,BBA_05587,XP_008598906.1,325,hypothetical protein BBA_05587
NW_007930850.1,15574,17439,-,19888600,,BBA_05588,XP_008598907.1,599,MAP kinase kinase skh1/pek1
NW_007930850.1,18826,20828,-,19888601,,BBA_05589,XP_008598908.1,622,cupin domain-containing protein
NW_007930850.1,21275,22297,+,19888602,,BBA_05590,XP_008598909.1,340,ribonuclease HII
NW_007930839.1,1631009,1632114,-,19885310,,BBA_02298,XP_008595617.1,347,hypothetical protein BBA_02298
NW_007930839.1,1632645,1633493,+,19885311,,BBA_02299,XP_008595618.1,282,ribosomal L28 family protein
NW_007930839.1,1633797,1636164,-,19885312,,BBA_02300,XP_008595619.1,715,tryptophan synthase
NW_007930839.1,1637214,1639328,-,19885313,,BBA_02301,XP_008595620.1,704,plasma membrane fusion protein PRM1
NW_007930839.1,1642204,1642730,-,19885314,,BBA_02302,XP_008595621.1,118,autophagy-related protein 8
NW_007930839.1,1643728,1645012,+,19885315,,BBA_02303,XP_008595622.1,408,coproporphyrinogen III oxidase
NW_007930839.1,1645365,1646105,+,19885316,,BBA_02304,XP_008595623.1,246,hypothetical protein BBA_02304
NW_007930839.1,1646339,1647494,-,19885317,,BBA_02305,XP_008595624.1,346,proteasome regulatory subunit 12
NW_007930839.1,1648164,1650220,-,19885318,,BBA_02306,XP_008595625.1,589,GMC oxidoreductase
NW_007930839.1,1652653,1653666,+,19885319,,BBA_02307,XP_008595626.1,257,putative adenylate kinase
NW_007930839.1,1654348,1657129,-,19885320,,BBA_02308,XP_008595627.1,771,hook3 protein
NW_007930839.1,1657827,1658175,-,19885321,,BBA_02309,XP_008595628.1,98,serine proteinase inhibitor IA-2
NW_007930840.1,14020,15579,+,19885322,,BBA_02310,XP_008595629.1,519,Cytochrome P450 CYP621A2
NW_007930840.1,16796,17702,+,19885323,,BBA_02311,XP_008595630.1,154,Cu/Zn superoxide dismutase
NW_007930840.1,19137,21109,+,19885324,,BBA_02312,XP_008595631.1,636,eukaryotic aspartyl protease
NW_007930840.1,22733,25384,+,19885325,,BBA_02313,XP_008595632.1,883,tudor domain-containing protein
NW_007930840.1,28820,30462,+,19885326,,BBA_02314,XP_008595633.1,359,"integral membrane protein, putative"
NW_007930840.1,31456,32758,+,19885327,,BBA_02315,XP_008595634.1,316,protein family CysZ
NW_007930840.1,33932,35447,+,19885328,,BBA_02316,XP_008595635.1,324,transaldolase-like protein
NW_007930840.1,35656,37655,-,19885329,,BBA_02317,XP_008595636.1,637,serine/threonine-protein kinase nak1
NW_007930840.1,42032,43219,-,19885330,,BBA_02318,XP_008595637.1,395,Ser/Thr protein phosphatase family protein
NW_007930840.1,44850,45330,-,19885331,,BBA_02319,XP_008595638.1,139,short chain dehydrogenase
NW_007930840.1,46641,48733,+,19885332,,BBA_02320,XP_008595639.1,618,ab-hydrolase associated lipase region
NW_007930840.1,49540,52541,-,19885333,,BBA_02321,XP_008595640.1,944,hypothetical protein BBA_02321
NW_007930840.1,53376,60430,+,19885334,,BBA_02322,XP_008595641.1,2318,Myosin
NW_007930840.1,62931,63741,-,19885335,,BBA_02323,XP_008595642.1,247,"ubiquitin carboxyl-terminal hydrolase, family 1"
NW_007930840.1,64078,65539,-,19885336,,BBA_02324,XP_008595643.1,410,protein kinase rad3
NW_007930840.1,66408,67955,-,19885337,,BBA_02325,XP_008595644.1,515,"sugar 1,4-lactone oxidase"
NW_007930840.1,68752,70898,-,19885338,,BBA_02326,XP_008595645.1,681,sodium symporter family protein
NW_007930840.1,74306,74743,+,19885339,,BBA_02327,XP_008595646.1,145,hypothetical protein BBA_02327
NW_007930840.1,75277,76266,-,19885340,,BBA_02328,XP_008595647.1,329,octanoyltransferase-like protein
NW_007930840.1,79631,80788,+,19885341,,BBA_02329,XP_008595648.1,243,SUR7 protein
NW_007930840.1,81589,83575,-,19885342,,BBA_02330,XP_008595649.1,641,tyrosine protein kinase of the MAP kinase kinase family
NW_007930840.1,89490,91256,+,19885343,,BBA_02331,XP_008595650.1,547,membrane transporter
NW_007930840.1,91707,92517,-,19885344,,BBA_02332,XP_008595651.1,224,pyridoxamine 5\\'-phosphate oxidase
NW_007930840.1,93575,95734,+,19885345,,BBA_02333,XP_008595652.1,719,carbamoyl-phosphate synthase subunit L
NW_007930840.1,96201,103725,+,19885346,,BBA_02334,XP_008595653.1,2437,phosphatidylinositol 3
NW_007930840.1,103930,105653,-,19885347,,BBA_02335,XP_008595654.1,528,Cytochrome P450 CYP584E2
NW_007930840.1,107419,109232,+,19885348,,BBA_02336,XP_008595655.1,532,fumarate hydratase
NW_007930846.1,482408,486630,-,19887802,,BBA_04790,XP_008598109.1,542,arrestin-like protein
NW_007930846.1,488195,488839,+,19887803,,BBA_04791,XP_008598110.1,214,hypothetical protein BBA_04791
NW_007930846.1,489154,489834,-,19887804,,BBA_04792,XP_008598111.1,226,hypothetical protein BBA_04792
NW_007930846.1,491773,492826,-,19887805,,BBA_04793,XP_008598112.1,297,hypothetical protein BBA_04793
NW_007930846.1,495100,496467,-,19887806,,BBA_04794,XP_008598113.1,455,hypothetical protein BBA_04794
NW_007930846.1,501521,504709,+,19887807,,BBA_04795,XP_008598114.1,1062,hypothetical protein BBA_04795
NW_007930846.1,505624,506524,-,19887808,,BBA_04796,XP_008598115.1,219,U1 small nuclear ribonucleoprotein
NW_007930846.1,506988,507827,+,19887809,,BBA_04797,XP_008598116.1,220,endoplasmic reticulum vesicle protein
NW_007930846.1,509661,510284,+,19887810,,BBA_04798,XP_008598117.1,169,hypothetical protein BBA_04798
NW_007930846.1,511123,512931,-,19887811,,BBA_04799,XP_008598118.1,602,Spindle poly body spacer protein SPC110
NW_007930846.1,516664,517407,+,19887812,,BBA_04800,XP_008598119.1,247,hypothetical protein BBA_04800
NW_007930846.1,517794,518264,-,19887813,,BBA_04801,XP_008598120.1,131,vacuolar transporter chaperone 1
NW_007930846.1,519498,520254,+,19887814,,BBA_04802,XP_008598121.1,161,tctex-1 family protein
NW_007930846.1,522304,523398,+,19887815,,BBA_04803,XP_008598122.1,364,F-box domain-containing protein
NW_007930846.1,524496,526270,-,19887816,,BBA_04804,XP_008598123.1,574,tripeptidyl peptidase SED3
NW_007930846.1,528715,531171,-,19887817,,BBA_04805,XP_008598124.1,802,neutral/alkaline non-lysosomal ceramidase
NW_007930846.1,532595,534031,+,19887818,,BBA_04806,XP_008598125.1,478,SIS domain-containing protein
NW_007930846.1,540288,542045,+,19887819,,BBA_04807,XP_008598126.1,459,SPX domain-containing protein
NW_007930846.1,543983,546726,-,19887820,,BBA_04808,XP_008598127.1,789,ORP1-like protein
NW_007930846.1,554749,555574,-,19887821,,BBA_04809,XP_008598128.1,207,DUF431 domain-containing protein
NW_007930846.1,556185,558143,+,19887822,,BBA_04810,XP_008598129.1,613,KEX1 protein precursor
NW_007930846.1,558531,559637,-,19887823,,BBA_04811,XP_008598130.1,341,anamorsin family protein
NW_007930846.1,560863,562613,+,19887824,,BBA_04812,XP_008598131.1,446,cellular nucleic acid-binding protein
NW_007930846.1,565052,566860,+,19887825,,BBA_04813,XP_008598132.1,508,bZIP transcription factor
NW_007930846.1,568176,569806,+,19887826,,BBA_04814,XP_008598133.1,500,kinetochore protein mis13
NW_007930846.1,570432,571298,-,19887827,,BBA_04815,XP_008598134.1,256,TPR repeat protein
NW_007930846.1,572472,574378,+,19887828,,BBA_04816,XP_008598135.1,610,WD domain-containing protein
NW_007930846.1,574544,575278,-,19887829,,BBA_04817,XP_008598136.1,209,glycosyltransferase family 28 domain-containing protein
NW_007930846.1,575553,576768,+,19887830,,BBA_04818,XP_008598137.1,385,37S ribosomal protein S24
NW_007930846.1,577194,577832,-,19887831,,BBA_04819,XP_008598138.1,212,hypothetical protein BBA_04819
NW_007930846.1,578092,581038,+,19887832,,BBA_04820,XP_008598139.1,797,mediator of RNA polymerase II transcription subunit 17
NW_007930846.1,581296,585117,-,19887833,,BBA_04821,XP_008598140.1,1216,RING-13 protein
NW_007930846.1,586228,588606,-,19887834,,BBA_04822,XP_008598141.1,792,type I phosphodiesterase/nucleotide pyrophosphatase
NW_007930846.1,589538,590806,-,19887835,,BBA_04823,XP_008598142.1,369,hypothetical protein BBA_04823
NW_007930846.1,595296,597590,-,19887836,,BBA_04824,XP_008598143.1,764,ABC transporter with duplicated ATPase domains
NW_007930846.1,598424,599397,+,19887837,,BBA_04825,XP_008598144.1,267,"oxidoreductase, 2OG-Fe(II) oxygenase family"
NW_007930846.1,600473,602169,-,19887838,,BBA_04826,XP_008598145.1,477,aspartate-tRNA ligase
NW_007930846.1,604188,614168,+,19887839,,BBA_04827,XP_008598146.1,3326,peptide synthetase
NW_007930850.1,22552,25374,-,19888603,,BBA_05591,XP_008598910.1,860,root hair defective 3 GTP-binding protein
NW_007930850.1,29611,32364,+,19888604,,BBA_05592,XP_008598911.1,875,choline/Carnitine O-acyltransferase
NW_007930850.1,33193,36811,+,19888605,,BBA_05593,XP_008598912.1,1109,small s protein
NW_007930850.1,38079,42074,-,19888606,,BBA_05594,XP_008598913.1,1043,pumilio domain-containing protein
NW_007930850.1,48449,52104,+,19888607,,BBA_05595,XP_008598914.1,1157,RNA polymerase Rpb2
NW_007930850.1,52430,53917,-,19888608,,BBA_05596,XP_008598915.1,495,DNA repair protein RAD57
NW_007930850.1,54969,55459,-,19888609,,BBA_05597,XP_008598916.1,136,RBP protein
NW_007930850.1,58317,59633,+,19888610,,BBA_05598,XP_008598917.1,417,hypothetical protein BBA_05598
NW_007930850.1,60084,60521,-,19888611,,BBA_05599,XP_008598918.1,145,hypothetical protein BBA_05599
NW_007930850.1,60980,62550,+,19888612,,BBA_05600,XP_008598919.1,505,glutamyl-tRNA(Gln) amidotransferase subunit A
NW_007930850.1,62819,63583,-,19888613,,BBA_05601,XP_008598920.1,254,PRP38 family protein
NW_007930850.1,63895,64560,+,19888614,,BBA_05602,XP_008598921.1,187,hypothetical protein BBA_05602
NW_007930850.1,66064,68645,+,19888615,,BBA_05603,XP_008598922.1,734,"Catalase-like domain, heme-dependent"
NW_007930850.1,71201,71998,-,19888616,,BBA_05604,XP_008598923.1,265,hypothetical protein BBA_05604
NW_007930850.1,84842,87193,+,19888617,,BBA_05605,XP_008598924.1,783,formyl transferase domain-containing protein
NW_007930850.1,87392,89063,-,19888618,,BBA_05606,XP_008598925.1,350,short chain dehydrogenase
NW_007930850.1,89184,89621,-,19888619,,BBA_05607,XP_008598926.1,145,cytochrome c oxidase assembly protein COX16
NW_007930850.1,90317,92560,-,19888620,,BBA_05608,XP_008598927.1,747,FHA domain-containing protein
NW_007930850.1,93475,94024,+,19888621,,BBA_05609,XP_008598928.1,111,mitochondrial genome maintenance protein Mgr2
NW_007930850.1,94464,97052,-,19888622,,BBA_05610,XP_008598929.1,520,Sir2 family protein
NW_007930850.1,97961,101601,-,19888623,,BBA_05611,XP_008598930.1,981,copper-transporting ATPase
NW_007930850.1,102287,105335,-,19888624,,BBA_05612,XP_008598931.1,940,beta-mannosidase A
NW_007930850.1,105944,106408,-,19888625,,BBA_05613,XP_008598932.1,154,hypothetical protein BBA_05613
NW_007930850.1,110118,111321,-,19888626,,BBA_05614,XP_008598933.1,367,hypothetical protein BBA_05614
NW_007930850.1,115422,117088,+,19888627,,BBA_05615,XP_008598934.1,517,metalloprotease-like protein
NW_007930850.1,118868,120631,-,19888628,,BBA_05616,XP_008598935.1,548,major facilitator superfamily transporter
NW_007930850.1,122085,123785,-,19888629,,BBA_05617,XP_008598936.1,566,beta-glucosidase 6
NW_007930850.1,124729,125995,+,19888630,,BBA_05618,XP_008598937.1,402,transaldolase-like protein
NW_007930850.1,126369,127567,+,19888631,,BBA_05619,XP_008598938.1,272,F-actin-capping protein subunit alpha
NW_007930850.1,129046,129651,+,19888632,,BBA_05620,XP_008598939.1,139,cytochrome b5
NW_007930850.1,130378,131280,+,19888633,,BBA_05621,XP_008598940.1,300,transcription initiation factor IIE subunit beta
NW_007930850.1,132867,133688,-,19888634,,BBA_05622,XP_008598941.1,273,DSBA-like thioredoxin domain-containing protein
NW_007930850.1,139466,140818,-,19888635,,BBA_05623,XP_008598942.1,450,zinc finger protein
NW_007930850.1,150291,151988,-,19888636,,BBA_05624,XP_008598943.1,447,VHS domain-containing protein
NW_007930850.1,152759,154477,-,19888637,,BBA_05625,XP_008598944.1,541,metal ion transporter metal ion transporter
NW_007930850.1,156300,157196,-,19888638,,BBA_05626,XP_008598945.1,211,phospholipid methyltransferase
NW_007930850.1,158144,159677,-,19888639,,BBA_05627,XP_008598946.1,446,hypothetical protein BBA_05627
NW_007930850.1,160383,163530,-,19888640,,BBA_05628,XP_008598947.1,932,glycoside hydrolase family 3
NW_007930840.1,110373,111495,+,19885349,,BBA_02337,XP_008595656.1,350,ELL-associated factor
NW_007930840.1,112019,113757,-,19885350,,BBA_02338,XP_008595657.1,500,hypothetical protein BBA_02338
NW_007930840.1,114582,115598,+,19885351,,BBA_02339,XP_008595658.1,338,taurine catabolism dioxygenase TauD
NW_007930840.1,117270,118857,+,19885352,,BBA_02340,XP_008595659.1,472,hypothetical protein BBA_02340
NW_007930840.1,118963,119495,-,19885353,,BBA_02341,XP_008595660.1,143,glutathione-dependent formaldehyde-activating enzyme
NW_007930840.1,119813,122515,-,19885354,,BBA_02342,XP_008595661.1,900,POPLD domain-containing protein
NW_007930840.1,123008,124742,-,19885355,,BBA_02343,XP_008595662.1,542,amino acid permease
NW_007930840.1,126403,128060,-,19885356,,BBA_02344,XP_008595663.1,491,succinate-semialdehyde dehydrogenase
NW_007930840.1,128443,130125,+,19885357,,BBA_02345,XP_008595664.1,459,4-aminobutyrate aminotransferase
NW_007930840.1,130671,133177,+,19885358,,BBA_02346,XP_008595665.1,745,fungal specific transcription factor
NW_007930840.1,134887,136316,+,19885359,,BBA_02347,XP_008595666.1,421,respiratory complex assembly protein Rmp1
NW_007930840.1,137124,138934,-,19885360,,BBA_02348,XP_008595667.1,564,hsp70-like protein
NW_007930840.1,139708,140530,+,19885361,,BBA_02349,XP_008595668.1,247,exosome complex exonuclease RRP40
NW_007930840.1,141631,143450,-,19885362,,BBA_02350,XP_008595669.1,589,zinc finger protein 76 (expressed in testis)
NW_007930840.1,145893,147320,-,19885363,,BBA_02351,XP_008595670.1,475,hypothetical protein BBA_02351
NW_007930840.1,151482,151973,+,19885364,,BBA_02352,XP_008595671.1,163,hypothetical protein BBA_02352
NW_007930840.1,153528,154223,-,19885365,,BBA_02353,XP_008595672.1,231,cell surface protein
NW_007930840.1,155421,166038,-,19885366,,BBA_02354,XP_008595673.1,3005,helicase sen1
NW_007930840.1,166935,167857,-,19885367,,BBA_02355,XP_008595674.1,138,hypothetical protein BBA_02355
NW_007930840.1,172743,173999,+,19885368,,BBA_02356,XP_008595675.1,418,hypothetical protein BBA_02356
NW_007930840.1,175243,176427,+,19885369,,BBA_02357,XP_008595676.1,347,NADP-dependent alcohol dehydrogenase
NW_007930840.1,183140,185251,+,19885370,,BBA_02358,XP_008595677.1,635,IBR domain-containing protein
NW_007930840.1,188621,190969,+,19885371,,BBA_02359,XP_008595678.1,782,hypothetical protein BBA_02359
NW_007930840.1,191727,193600,-,19885372,,BBA_02360,XP_008595679.1,456,BRCA1 C Terminus domain-containing protein
NW_007930840.1,193921,194781,-,19885373,,BBA_02361,XP_008595680.1,286,FMN-binding split barrel-related protein
NW_007930840.1,195314,197571,-,19885374,,BBA_02362,XP_008595681.1,674,C-5 cytosine-specific DNA methylase
NW_007930840.1,198153,199374,-,19885375,,BBA_02363,XP_008595682.1,384,hypothetical protein BBA_02363
NW_007930840.1,201472,202334,+,19885376,,BBA_02364,XP_008595683.1,257,DJ-1/PfpI family protein
NW_007930840.1,202569,205429,-,19885377,,BBA_02365,XP_008595684.1,925,hypothetical protein BBA_02365
NW_007930840.1,208070,212794,+,19885378,,BBA_02366,XP_008595685.1,1574,ATP-binding cassette sub-family A member 9
NW_007930840.1,215318,220139,+,19885379,,BBA_02367,XP_008595686.1,1573,transcription mediator subunit Med12
NW_007930840.1,221117,224662,-,19885380,,BBA_02368,XP_008595687.1,1051,RhoGAP domain-containing protein
NW_007930840.1,226000,226480,-,19885381,,BBA_02369,XP_008595688.1,98,40S ribosomal protein S28
NW_007930840.1,227671,229772,+,19885382,,BBA_02370,XP_008595689.1,657,serine/threonine-protein kinase DBF20
NW_007930840.1,231081,234153,-,19885383,,BBA_02371,XP_008595690.1,838,"Zinc finger, GATA-type"
NW_007930840.1,239494,240365,+,19885384,,BBA_02372,XP_008595691.1,272,WW domain binding protein 11
NW_007930840.1,240934,242405,+,19885385,,BBA_02373,XP_008595692.1,462,major facilitator superfamily transporter
NW_007930840.1,243574,244788,-,19885386,,BBA_02374,XP_008595693.1,317,metalloprotease-like protein
NW_007930846.1,615244,617285,+,19887840,,BBA_04828,XP_008598147.1,532,vacuolar basic amino acid transporter 1
NW_007930846.1,617516,619018,-,19887841,,BBA_04829,XP_008598148.1,434,major facilitator superfamily transporter
NW_007930846.1,622203,623469,+,19887842,,BBA_04830,XP_008598149.1,394,Allergen V5/Tpx-1 family protein
NW_007930846.1,624287,625909,-,19887843,,BBA_04831,XP_008598150.1,252,hypothetical protein BBA_04831
NW_007930846.1,626828,628645,+,19887844,,BBA_04832,XP_008598151.1,509,Cytochrome P450 CYP684B2
NW_007930846.1,629754,632207,+,19887845,,BBA_04833,XP_008598152.1,472,hypothetical protein BBA_04833
NW_007930846.1,633708,634259,+,19887846,,BBA_04834,XP_008598153.1,167,hypothetical protein BBA_04834
NW_007930846.1,634658,635149,+,19887847,,BBA_04835,XP_008598154.1,163,hypothetical protein BBA_04835
NW_007930846.1,636789,639780,+,19887848,,BBA_04836,XP_008598155.1,903,importin subunit beta-1
NW_007930846.1,641047,643826,-,19887849,,BBA_04837,XP_008598156.1,829,general repressor of transcription
NW_007930846.1,647296,648787,-,19887850,,BBA_04838,XP_008598157.1,423,1-aminocyclopropane-1-carboxylate synthase
NW_007930846.1,649704,651989,+,19887851,,BBA_04839,XP_008598158.1,700,putative REC8 protein
NW_007930846.1,652428,654213,-,19887852,,BBA_04840,XP_008598159.1,499,rab protein geranylgeranyltransferase component A
NW_007930846.1,654738,655751,-,19887853,,BBA_04841,XP_008598160.1,337,exosome complex exonuclease RRP43
NW_007930846.1,656238,657251,-,19887854,,BBA_04842,XP_008598161.1,229,CIA30 family protein
NW_007930846.1,659565,662180,+,19887855,,BBA_04843,XP_008598162.1,871,ferric reductase like transmembrane component
NW_007930846.1,662580,664927,-,19887856,,BBA_04844,XP_008598163.1,710,glycosyltransferase family 3
NW_007930846.1,671210,672334,-,19887857,,BBA_04845,XP_008598164.1,374,hypothetical protein BBA_04845
NW_007930846.1,679860,681166,+,19887858,,BBA_04846,XP_008598165.1,375,F-box domain containing protein
NW_007930846.1,681448,682671,-,19887859,,BBA_04847,XP_008598166.1,368,saccharopine dehydrogenase
NW_007930846.1,684120,685160,-,19887860,,BBA_04848,XP_008598167.1,328,Alpha/beta hydrolase fold-3 domain protein
NW_007930846.1,687476,688862,+,19887861,,BBA_04849,XP_008598168.1,397,hypothetical protein BBA_04849
NW_007930846.1,690856,693324,+,19887862,,BBA_04850,XP_008598169.1,764,ankyrin repeat protein
NW_007930846.1,693761,695887,-,19887863,,BBA_04851,XP_008598170.1,708,uracil phosphoribosyltransferase
NW_007930846.1,697514,701490,+,19887864,,BBA_04852,XP_008598171.1,1260,RNA dependent RNA polymerase
NW_007930846.1,702596,705169,-,19887865,,BBA_04853,XP_008598172.1,808,cap binding protein 80 (Cbp80)
NW_007930846.1,706369,707879,-,19887866,,BBA_04854,XP_008598173.1,394,protein kinase gsk3
NW_007930846.1,716462,718504,-,19887867,,BBA_04855,XP_008598174.1,559,6-phosphofructo-2-kinase
NW_007930846.1,719513,720651,+,19887868,,BBA_04856,XP_008598175.1,352,eukaryotic porin
NW_007930846.1,721757,724917,-,19887869,,BBA_04857,XP_008598176.1,919,ubiquitin carboxyl-terminal hydrolase
NW_007930846.1,725918,727134,+,19887870,,BBA_04858,XP_008598177.1,350,ribosomal L5P family protein
NW_007930846.1,727403,728050,-,19887871,,BBA_04859,XP_008598178.1,215,nucleotide exchange factor Fes1
NW_007930846.1,730396,732151,+,19887872,,BBA_04860,XP_008598179.1,375,Actin-like protein
NW_007930846.1,732640,733332,-,19887873,,BBA_04861,XP_008598180.1,200,RF-1 domain-containing protein
NW_007930846.1,733988,735913,-,19887874,,BBA_04862,XP_008598181.1,641,HET domain protein
NW_007930846.1,736900,737356,+,19887875,,BBA_04863,XP_008598182.1,116,hypothetical protein BBA_04863
NW_007930846.1,737759,740326,-,19887876,,BBA_04864,XP_008598183.1,835,WD domain-containing protein
NW_007930846.1,740610,741254,+,19887877,,BBA_04865,XP_008598184.1,108,ubiquitin-related modifier protein
NW_007930850.1,165221,166718,+,19888641,,BBA_05629,XP_008598948.1,435,carbohydrate esterase family 9
NW_007930850.1,168979,171333,+,19888642,,BBA_05630,XP_008598949.1,700,NDT80/PhoG like DNA-binding family protein
NW_007930850.1,175576,176825,-,19888643,,BBA_05631,XP_008598950.1,358,glucosamine-6-phosphate isomerase
NW_007930850.1,181384,183092,+,19888644,,BBA_05632,XP_008598951.1,532,hexokinase-like protein
NW_007930850.1,183749,186526,+,19888645,,BBA_05633,XP_008598952.1,865,BRCA1 C Terminus domain-containing protein
NW_007930850.1,186729,187510,-,19888646,,BBA_05634,XP_008598953.1,195,ESCRT-II complex subunit
NW_007930850.1,188590,192172,+,19888647,,BBA_05635,XP_008598954.1,1121,nitrite reductase
NW_007930850.1,192782,195810,-,19888648,,BBA_05636,XP_008598955.1,989,helix-loop-helix DNA-binding domain-containing protein
NW_007930850.1,199566,201107,-,19888649,,BBA_05637,XP_008598956.1,513,hypothetical protein BBA_05637
NW_007930850.1,202463,205378,+,19888650,,BBA_05638,XP_008598957.1,971,ATP-dependent DNA helicase srs2
NW_007930850.1,207859,210264,+,19888651,,BBA_05639,XP_008598958.1,761,neutral/alkaline non-lysosomal ceramidase
NW_007930850.1,217181,218371,+,19888652,,BBA_05640,XP_008598959.1,341,30S ribosomal protein S7
NW_007930850.1,220325,222606,+,19888653,,BBA_05641,XP_008598960.1,719,universal stress protein family
NW_007930850.1,224093,226600,+,19888654,,BBA_05642,XP_008598961.1,747,hypothetical protein BBA_05642
NW_007930850.1,227471,229681,-,19888655,,BBA_05643,XP_008598962.1,736,polyadenylate-binding protein
NW_007930850.1,231699,235251,+,19888656,,BBA_05644,XP_008598963.1,1143,HECT-domain-containing protein
NW_007930850.1,235481,237353,-,19888657,,BBA_05645,XP_008598964.1,532,DUF1237 domain-containing protein
NW_007930850.1,239525,241887,+,19888658,,BBA_05646,XP_008598965.1,581,"autophagy protein (Atg22), putative"
