"gene_name","old_annotation","pfams","GOs"
"LOC105426004","uncharacterized protein LOC105426004",NA,NA
"LOC105426004","uncharacterized protein LOC105426004",NA,NA
"LOC105426002","integrin beta-PS isoform X1","PF08725|Integrin beta cytoplasmic domain; PF00362|Integrin beta chain VWA domain; PF17205|Integrin plexin domain; PF07974|EGF-like domain; PF07965|Integrin beta tail domain; PF18372|Integrin beta epidermal growth factor like domain 1",NA
"LOC105426002","integrin beta-PS isoform X2","PF08725|Integrin beta cytoplasmic domain; PF00362|Integrin beta chain VWA domain; PF17205|Integrin plexin domain; PF07974|EGF-like domain; PF07965|Integrin beta tail domain; PF18372|Integrin beta epidermal growth factor like domain 1",NA
"LOC105426007","uncharacterized protein LOC105426007",NA,NA
"LOC105426008","tRNA methyltransferase 10 homolog A","PF01746|tRNA (Guanine-1)-methyltransferase",NA
"LOC105426009","tyrosine-protein kinase transmembrane receptor Ror2","PF00051|Kringle domain; PF07714|Protein tyrosine and serine/threonine kinase; PF01392|Fz domain","GO:0004672|protein kinase activity; GO:0006468|protein phosphorylation; GO:0005515|protein binding"
"LOC105426010","RUN domain-containing protein 1 isoform X1","PF02759|RUN domain",NA
"LOC105426010","RUN domain-containing protein 1 isoform X2","PF02759|RUN domain",NA
"LOC105426011","muskelin","PF13415|Galactose oxidase, central domain; PF06588|Muskelin N-terminus",NA
"LOC105426011","muskelin","PF13415|Galactose oxidase, central domain; PF06588|Muskelin N-terminus",NA
"LOC105426012","transmembrane protein 64","PF09335|SNARE associated Golgi protein",NA
"LOC105426013","THAP domain-containing protein 2-like isoform X1","PF05485|THAP domain",NA
"LOC105426013","THAP domain-containing protein 2-like isoform X2","PF05485|THAP domain",NA
"LOC105426013","THAP domain-containing protein 2-like isoform X2","PF05485|THAP domain",NA
"LOC105426014","neuroguidin isoform X1","PF04000|Sas10/Utp3/C1D family",NA
"LOC105426014","neuroguidin isoform X2","PF04000|Sas10/Utp3/C1D family",NA
"LOC105426016","transmembrane 9 superfamily member 4 isoform X1","PF02990|Endomembrane protein 70","GO:0016021|integral component of membrane"
"LOC105426016","transmembrane 9 superfamily member 4 isoform X2","PF02990|Endomembrane protein 70","GO:0016021|integral component of membrane"
"LOC105426015","metallophosphoesterase 1","PF00149|Calcineurin-like phosphoesterase","GO:0016787|hydrolase activity"
"LOC105426017","cell division control protein 6 homolog","PF00004|ATPase family associated with various cellular activities (AAA); PF09079|CDC6, C terminal winged helix domain; PF17872|AAA lid domain","GO:0005524|ATP binding; GO:0016887|ATPase activity"
"LOC105433024","protein SAAL1",NA,NA
"LOC105433024","protein SAAL1",NA,NA
"LOC112553013","LOW QUALITY PROTEIN: 7-methylguanosine phosphate-specific 5\\'-nucleotidase","PF05822|Pyrimidine 5'-nucleotidase (UMPH-1)","GO:0000287|magnesium ion binding; GO:0005737|cytoplasm; GO:0008253|5'-nucleotidase activity"
"LOC105433070","uncharacterized protein LOC105433070",NA,NA
"LOC105433025","phosphatidylinositol transfer protein alpha isoform","PF02121|Phosphatidylinositol transfer protein","GO:0005548|phospholipid transporter activity; GO:0015914|phospholipid transport"
"LOC105433071","short-chain specific acyl-CoA dehydrogenase, mitochondrial, partial","PF00441|Acyl-CoA dehydrogenase, C-terminal domain; PF02770|Acyl-CoA dehydrogenase, middle domain; PF02771|Acyl-CoA dehydrogenase, N-terminal domain","GO:0016627|oxidoreductase activity, acting on the CH-CH group of donors; GO:0016627|oxidoreductase activity, acting on the CH-CH group of donors; GO:0050660|flavin adenine dinucleotide binding"
"LOC105433026","uncharacterized protein LOC105433026 isoform X1",NA,NA
"LOC105433026","uncharacterized protein LOC105433026 isoform X2",NA,NA
"LOC105433072","RIMS-binding protein 2","PF07653|Variant SH3 domain; PF14604|Variant SH3 domain","GO:0005515|protein binding"
"LOC105433028","alpha-tocopherol transfer protein-like","PF00650|CRAL/TRIO domain",NA
"LOC105433029","seipin","PF06775|Putative adipose-regulatory protein (Seipin)","GO:0019915|lipid storage"
"LOC105433031","irregular chiasm C-roughest protein-like isoform X1","PF13895|Immunoglobulin domain; PF07686|Immunoglobulin V-set domain; PF08205|CD80-like C2-set immunoglobulin domain",NA
"LOC105433031","irregular chiasm C-roughest protein-like isoform X2","PF13895|Immunoglobulin domain; PF07686|Immunoglobulin V-set domain; PF08205|CD80-like C2-set immunoglobulin domain",NA
"LOC105433032","GPI mannosyltransferase 1","PF05007|Mannosyltransferase (PIG-M)","GO:0004376|glycolipid mannosyltransferase activity; GO:0006506|GPI anchor biosynthetic process; GO:0016021|integral component of membrane; GO:0051751|alpha-1,4-mannosyltransferase activity"
"LOC105433033","cx9C motif-containing protein 4","PF08991|Mature-T-Cell Proliferation I type",NA
"LOC105433034","dolichyl-phosphate beta-glucosyltransferase","PF00535|Glycosyl transferase family 2",NA
"LOC105433035","programmed cell death protein 6 isoform X1","PF13499|EF-hand domain pair; PF13833|EF-hand domain pair","GO:0005509|calcium ion binding"
"LOC105433035","programmed cell death protein 6 isoform X2","PF13499|EF-hand domain pair; PF13833|EF-hand domain pair","GO:0005509|calcium ion binding"
"LOC105433036","MICOS complex subunit Mic10 isoform X1","PF04418|Domain of unknown function (DUF543)","GO:0005743|mitochondrial inner membrane; GO:0061617|MICOS complex"
"LOC105433036","MICOS complex subunit MIC10 isoform X2","PF04418|Domain of unknown function (DUF543)","GO:0005743|mitochondrial inner membrane; GO:0061617|MICOS complex"
"LOC105433038","casein kinase I isoform X2","PF00069|Protein kinase domain; PF12605|Casein kinase 1 gamma C terminal","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0004674|protein serine/threonine kinase activity"
"LOC105433038","casein kinase I isoform X3","PF00069|Protein kinase domain; PF12605|Casein kinase 1 gamma C terminal","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0004674|protein serine/threonine kinase activity"
"LOC105433038","casein kinase I isoform X4","PF00069|Protein kinase domain; PF12605|Casein kinase 1 gamma C terminal","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0004674|protein serine/threonine kinase activity"
"LOC105433038","casein kinase I isoform X1","PF00069|Protein kinase domain; PF12605|Casein kinase 1 gamma C terminal","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0004674|protein serine/threonine kinase activity"
"LOC105433041","uncharacterized protein LOC105433041","PF12416|Cep120 protein",NA
"LOC105433040","myogenesis-regulating glycosidase","PF01055|Glycosyl hydrolases family 31","GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0005975|carbohydrate metabolic process"
"LOC105433043","nucleolar protein 6","PF17403|Nrap protein PAP/OAS-like domain; PF17404|Nrap protein domain 3; PF17407|Nrap protein domain 6; PF03813|Nrap protein domain 1; PF17406|Nrap protein PAP/OAS1-like domain 5; PF17405|Nrap protein nucleotidyltransferase domain 4",NA
"LOC105433042","uncharacterized protein LOC105433042",NA,NA
"LOC105433044","peptidyl-tRNA hydrolase 2, mitochondrial-like","PF01981|Peptidyl-tRNA hydrolase PTH2","GO:0004045|aminoacyl-tRNA hydrolase activity"
"LOC105433044","peptidyl-tRNA hydrolase 2, mitochondrial-like","PF01981|Peptidyl-tRNA hydrolase PTH2","GO:0004045|aminoacyl-tRNA hydrolase activity"
"LOC105433046","tetratricopeptide repeat protein 28","PF12770|CHAT domain; PF13176|Tetratricopeptide repeat; PF13424|Tetratricopeptide repeat; PF13374|Tetratricopeptide repeat","GO:0005515|protein binding"
"LOC105433073","putative tricarboxylate transport protein, mitochondrial","PF00153|Mitochondrial carrier protein",NA
"LOC105433047","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","PF04855|SNF5 / SMARCB1 / INI1","GO:0000228|nuclear chromosome; GO:0006338|chromatin remodeling"
"LOC105433049","AP-1 complex subunit beta-1 isoform X1","PF09066|Beta2-adaptin appendage, C-terminal sub-domain; PF02883|Adaptin C-terminal domain; PF01602|Adaptin N terminal region","GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030131|clathrin adaptor complex; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030117|membrane coat"
"LOC105433049","AP-1 complex subunit beta-1 isoform X3","PF09066|Beta2-adaptin appendage, C-terminal sub-domain; PF02883|Adaptin C-terminal domain; PF01602|Adaptin N terminal region","GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030131|clathrin adaptor complex; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030117|membrane coat"
"LOC105433049","AP-1 complex subunit beta-1 isoform X2","PF09066|Beta2-adaptin appendage, C-terminal sub-domain; PF02883|Adaptin C-terminal domain; PF01602|Adaptin N terminal region","GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030131|clathrin adaptor complex; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030117|membrane coat"
"LOC112552332","uncharacterized protein LOC112552332 isoform X2",NA,NA
"LOC105423317","uncharacterized protein LOC105423317 isoform X1",NA,NA
"LOC105423317","uncharacterized protein LOC105423317 isoform X2",NA,NA
"LOC105424454","uncharacterized protein LOC105424454",NA,NA
"LOC105426842","uncharacterized protein LOC105426842",NA,NA
"LOC105424073","ankyrin repeat and LEM domain-containing protein 2 isoform X2","PF12796|Ankyrin repeats (3 copies)",NA
"LOC105424073","ankyrin repeat and LEM domain-containing protein 2 isoform X1","PF12796|Ankyrin repeats (3 copies)",NA
"LOC105424073","ankyrin repeat and LEM domain-containing protein 2 isoform X3","PF12796|Ankyrin repeats (3 copies)",NA
"LOC105424074","clathrin light chain","PF01086|Clathrin light chain","GO:0005198|structural molecule activity; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030130|clathrin coat of trans-Golgi network vesicle; GO:0030132|clathrin coat of coated pit"
"LOC105423145","uncharacterized protein K02A2.6-like","PF00665|Integrase core domain","GO:0015074|DNA integration"
"LOC105424475","collagen alpha-2(IV) chain-like, partial","PF01391|Collagen triple helix repeat (20 copies); PF01413|C-terminal tandem repeated domain in type 4 procollagen","GO:0005201|extracellular matrix structural constituent; GO:0005581|collagen trimer"
"LOC105424455","tyrosine aminotransferase","PF00155|Aminotransferase class I and II","GO:0009058|biosynthetic process; GO:0030170|pyridoxal phosphate binding"
"LOC105424476","LOW QUALITY PROTEIN: neural-cadherin-like","PF01049|Cadherin cytoplasmic region; PF12661|Human growth factor-like EGF; PF00028|Cadherin domain; PF02210|Laminin G domain","GO:0005509|calcium ion binding; GO:0007156|homophilic cell adhesion via plasma membrane adhesion molecules; GO:0005509|calcium ion binding; GO:0007156|homophilic cell adhesion via plasma membrane adhesion molecules; GO:0016020|membrane"
"LOC105424456","uncharacterized protein LOC105424456","PF16089|Domain of unknown function (DUF4818)",NA
"LOC105424457","aromatic-L-amino-acid decarboxylase","PF00282|Pyridoxal-dependent decarboxylase conserved domain","GO:0016830|carbon-carbon lyase activity; GO:0019752|carboxylic acid metabolic process; GO:0030170|pyridoxal phosphate binding"
"LOC105424460","uncharacterized protein LOC105424460 isoform X2","PF00167|Fibroblast growth factor","GO:0008083|growth factor activity"
"LOC105424460","uncharacterized protein LOC105424460 isoform X2","PF00167|Fibroblast growth factor","GO:0008083|growth factor activity"
"LOC105424460","uncharacterized protein LOC105424460 isoform X1","PF00167|Fibroblast growth factor","GO:0008083|growth factor activity"
"LOC105424477","uncharacterized protein LOC105424477",NA,NA
"LOC105424461","calcium uptake protein 2, mitochondrial isoform X1","PF00036|EF hand","GO:0005509|calcium ion binding"
"LOC105424461","calcium uptake protein 3, mitochondrial isoform X2","PF00036|EF hand","GO:0005509|calcium ion binding"
"LOC105424461","calcium uptake protein 3, mitochondrial isoform X3","PF00036|EF hand","GO:0005509|calcium ion binding"
"LOC105424462","LOW QUALITY PROTEIN: probable serine/threonine-protein kinase DDB_G0271682","PF07714|Protein tyrosine and serine/threonine kinase","GO:0004672|protein kinase activity; GO:0006468|protein phosphorylation"
"LOC105424463","dynein light chain Tctex-type","PF03645|Tctex-1 family",NA
"LOC105424463","dynein light chain Tctex-type","PF03645|Tctex-1 family",NA
"LOC105424464","centrosomin isoform X3","PF07989|Centrosomin N-terminal motif 1","GO:0005815|microtubule organizing center"
"LOC105424464","centrosomin isoform X1","PF07989|Centrosomin N-terminal motif 1","GO:0005815|microtubule organizing center"
"LOC105424464","centrosomin isoform X5","PF07989|Centrosomin N-terminal motif 1","GO:0005815|microtubule organizing center"
"LOC105424464","centrosomin isoform X2","PF07989|Centrosomin N-terminal motif 1","GO:0005815|microtubule organizing center"
"LOC105424464","centrosomin isoform X4","PF07989|Centrosomin N-terminal motif 1","GO:0005815|microtubule organizing center"
"LOC105424467","LIM/homeobox protein Lhx3","PF00412|LIM domain; PF00046|Homeodomain","GO:0003677|DNA binding"
"LOC105424468","aromatic-L-amino-acid decarboxylase-like","PF00282|Pyridoxal-dependent decarboxylase conserved domain","GO:0016830|carbon-carbon lyase activity; GO:0019752|carboxylic acid metabolic process; GO:0030170|pyridoxal phosphate binding"
"LOC105424468","aromatic-L-amino-acid decarboxylase-like","PF00282|Pyridoxal-dependent decarboxylase conserved domain","GO:0016830|carbon-carbon lyase activity; GO:0019752|carboxylic acid metabolic process; GO:0030170|pyridoxal phosphate binding"
"LOC105424478","spermine oxidase-like","PF01593|Flavin containing amine oxidoreductase","GO:0016491|oxidoreductase activity"
"LOC105424469","F-box/SPRY domain-containing protein 1 isoform X1","PF00622|SPRY domain; PF12937|F-box-like","GO:0005515|protein binding"
"LOC105424469","F-box/SPRY domain-containing protein 1 isoform X2","PF00622|SPRY domain; PF12937|F-box-like","GO:0005515|protein binding"
"LOC105433049","AP-1 complex subunit beta-1 isoform X4","PF09066|Beta2-adaptin appendage, C-terminal sub-domain; PF02883|Adaptin C-terminal domain; PF01602|Adaptin N terminal region","GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030131|clathrin adaptor complex; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0006886|intracellular protein transport; GO:0016192|vesicle-mediated transport; GO:0030117|membrane coat"
"LOC112553012","40S ribosomal protein S27","PF01667|Ribosomal protein S27","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation"
"LOC105433050","low molecular weight phosphotyrosine protein phosphatase 1-like isoform X1","PF01451|Low molecular weight phosphotyrosine protein phosphatase",NA
"LOC105433050","low molecular weight phosphotyrosine protein phosphatase 1-like isoform X2","PF01451|Low molecular weight phosphotyrosine protein phosphatase",NA
"LOC105433051","low molecular weight phosphotyrosine protein phosphatase 1-like isoform X1","PF01451|Low molecular weight phosphotyrosine protein phosphatase",NA
"LOC105433051","low molecular weight phosphotyrosine protein phosphatase-like isoform X2","PF01451|Low molecular weight phosphotyrosine protein phosphatase",NA
"LOC105433053","histidine--tRNA ligase, cytoplasmic","PF03129|Anticodon binding domain; PF13393|Histidyl-tRNA synthetase",NA
"LOC105433055","open rectifier potassium channel protein 1","PF07885|Ion channel",NA
"LOC105433055","open rectifier potassium channel protein 1","PF07885|Ion channel",NA
"LOC105433055","open rectifier potassium channel protein 1","PF07885|Ion channel",NA
"LOC105433055","open rectifier potassium channel protein 1","PF07885|Ion channel",NA
"LOC105433056","zinc finger protein 143-like isoform X2","PF00096|Zinc finger, C2H2 type",NA
"LOC105433056","zinc finger protein 143-like isoform X1","PF00096|Zinc finger, C2H2 type",NA
"LOC105433056","zinc finger protein 143-like isoform X1","PF00096|Zinc finger, C2H2 type",NA
"LOC105433056","zinc finger protein 143-like isoform X1","PF00096|Zinc finger, C2H2 type",NA
"LOC105433056","zinc finger protein 143-like isoform X1","PF00096|Zinc finger, C2H2 type",NA
"LOC105433056","zinc finger protein 143-like isoform X1","PF00096|Zinc finger, C2H2 type",NA
"LOC105433057","uncharacterized protein LOC105433057 isoform X1",NA,NA
"LOC105433057","uncharacterized protein LOC105433057 isoform X2",NA,NA
"LOC105433061","uncharacterized protein LOC105433061","PF17064|Sleepless protein","GO:0030431|sleep; GO:0032222|regulation of synaptic transmission, cholinergic; GO:1903818|positive regulation of voltage-gated potassium channel activity"
"LOC105433059","uncharacterized protein LOC105433059 isoform X2","PF00047|Immunoglobulin domain",NA
"LOC105433059","uncharacterized protein LOC105433059 isoform X4","PF00047|Immunoglobulin domain",NA
"LOC105433059","uncharacterized protein LOC105433059 isoform X3","PF00047|Immunoglobulin domain",NA
"LOC105433059","uncharacterized protein LOC105433059 isoform X1","PF00047|Immunoglobulin domain",NA
"LOC105433059","uncharacterized protein LOC105433059 isoform X1","PF00047|Immunoglobulin domain",NA
"LOC105433059","uncharacterized protein LOC105433059 isoform X1","PF00047|Immunoglobulin domain",NA
"LOC105433059","uncharacterized protein LOC105433059 isoform X5","PF00047|Immunoglobulin domain",NA
"LOC105433058","LOW QUALITY PROTEIN: protein lin-9 homolog","PF06584|DIRP",NA
"LOC105433062","nuclear pore complex protein Nup50","PF00638|RanBP1 domain; PF08911|NUP50 (Nucleoporin 50 kDa)","GO:0046907|intracellular transport; GO:0005643|nuclear pore"
"LOC105433062","nuclear pore complex protein Nup50","PF00638|RanBP1 domain; PF08911|NUP50 (Nucleoporin 50 kDa)","GO:0046907|intracellular transport; GO:0005643|nuclear pore"
"LOC105433062","nuclear pore complex protein Nup50","PF00638|RanBP1 domain; PF08911|NUP50 (Nucleoporin 50 kDa)","GO:0046907|intracellular transport; GO:0005643|nuclear pore"
"LOC105433062","nuclear pore complex protein Nup50","PF00638|RanBP1 domain; PF08911|NUP50 (Nucleoporin 50 kDa)","GO:0046907|intracellular transport; GO:0005643|nuclear pore"
"LOC105433062","nuclear pore complex protein Nup50","PF00638|RanBP1 domain; PF08911|NUP50 (Nucleoporin 50 kDa)","GO:0046907|intracellular transport; GO:0005643|nuclear pore"
"LOC105433063","RNA-binding protein squid-like","PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","GO:0003676|nucleic acid binding"
"LOC105433063","RNA-binding protein squid-like","PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","GO:0003676|nucleic acid binding"
"LOC105424470","transmembrane protein 164","PF14808|TMEM164 family",NA
"LOC105424470","transmembrane protein 164","PF14808|TMEM164 family",NA
"LOC105424471","hypoxia-inducible factor 1-alpha-like","PF08447|PAS fold; PF00989|PAS fold","GO:0005515|protein binding; GO:0006355|regulation of transcription, DNA-templated"
"LOC105424472","DNA-directed RNA polymerase I subunit RPA12","PF01096|Transcription factor S-II (TFIIS)","GO:0003676|nucleic acid binding; GO:0006351|transcription, DNA-templated; GO:0008270|zinc ion binding"
"LOC105424479","venom dipeptidyl peptidase 4","PF00326|Prolyl oligopeptidase family; PF00930|Dipeptidyl peptidase IV (DPP IV) N-terminal region","GO:0006508|proteolysis; GO:0008236|serine-type peptidase activity; GO:0006508|proteolysis"
"LOC105424473","uncharacterized protein LOC105424473 isoform X2",NA,NA
"LOC105424473","uncharacterized protein LOC105424473 isoform X1",NA,NA
"LOC105424776","kinetochore protein SLK19",NA,NA
"LOC105424776","kinetochore protein SLK19",NA,NA
"LOC105424776","kinetochore protein SLK19",NA,NA
"LOC105424776","kinetochore protein SLK19",NA,NA
"LOC105424778","asparagine synthetase domain-containing protein 1","PF13537|Glutamine amidotransferase domain; PF00733|Asparagine synthase","GO:0004066|asparagine synthase (glutamine-hydrolyzing) activity; GO:0006529|asparagine biosynthetic process"
"LOC105424906","CCR4-NOT transcription complex subunit 10 isoform X1",NA,NA
"LOC105424906","CCR4-NOT transcription complex subunit 10 isoform X1",NA,NA
"LOC105424906","CCR4-NOT transcription complex subunit 10 isoform X2",NA,NA
"LOC105424779","la-related protein 6 isoform X1","PF05383|La domain",NA
"LOC105424779","la-related protein 6 isoform X1","PF05383|La domain",NA
"LOC105424779","la-related protein 6 isoform X1","PF05383|La domain",NA
"LOC105424779","la-related protein 6 isoform X1","PF05383|La domain",NA
"LOC105424779","la-related protein 6 isoform X1","PF05383|La domain",NA
"LOC105424779","la-related protein 6 isoform X1","PF05383|La domain",NA
"LOC105424779","la-related protein 6 isoform X3","PF05383|La domain",NA
"LOC105424779","la-related protein 6 isoform X3","PF05383|La domain",NA
"LOC105424779","la-related protein 6 isoform X2","PF05383|La domain",NA
"LOC105424907","uncharacterized protein LOC105424907","PF00415|Regulator of chromosome condensation (RCC1) repeat",NA
"LOC105424782","RRP12-like protein isoform X2","PF08161|NUC173 domain",NA
"LOC105424782","RRP12-like protein isoform X1","PF08161|NUC173 domain",NA
"LOC105424784","LOW QUALITY PROTEIN: 28S ribosomal protein S5, mitochondrial","PF03719|Ribosomal protein S5, C-terminal domain; PF00333|Ribosomal protein S5, N-terminal domain","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation; GO:0003723|RNA binding; GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation"
"LOC105424783","uncharacterized protein LOC105424783","PF00134|Cyclin, N-terminal domain",NA
"LOC105424909","LOW QUALITY PROTEIN: protein OPI10 homolog","PF05603|Protein of unknown function (DUF775)",NA
"LOC105424785","myotubularin-related protein 3","PF01363|FYVE zinc finger; PF06602|Myotubularin-like phosphatase domain","GO:0046872|metal ion binding"
"LOC105424910","gustatory receptor for sugar taste 43a-like","PF08395|7tm Chemosensory receptor","GO:0016021|integral component of membrane; GO:0050909|sensory perception of taste"
"LOC105424911","protein I\\'m not dead yet-like, partial","PF00939|Sodium:sulfate symporter transmembrane region","GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105424786","uncharacterized protein CG3556, partial","PF01122|Eukaryotic cobalamin-binding protein","GO:0015889|cobalamin transport; GO:0031419|cobalamin binding"
"LOC105424787","serine/threonine-protein kinase PINK1, mitochondrial","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105424788","proteasome subunit beta type-6","PF00227|Proteasome subunit","GO:0005839|proteasome core complex; GO:0051603|proteolysis involved in cellular protein catabolic process"
"LOC105424789","sodium-coupled monocarboxylate transporter 1-like","PF00474|Sodium:solute symporter family","GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426019","mitochondrial assembly of ribosomal large subunit protein 1","PF02410|Ribosomal silencing factor during starvation",NA
"LOC105426020","syntaxin-18","PF10496|SNARE-complex protein Syntaxin-18 N-terminus",NA
"LOC105426020","syntaxin-18","PF10496|SNARE-complex protein Syntaxin-18 N-terminus",NA
"LOC105426022","myb-like protein X","PF18428|BRCA1 C Terminus (BRCT) domain",NA
"LOC105426041","LOW QUALITY PROTEIN: tectonic-3-like","PF07162|Ciliary basal body-associated, B9 protein; PF07773|Protein of unknown function (DUF1619)",NA
"LOC105423462","uncharacterized protein K02A2.6-like","PF00665|Integrase core domain","GO:0015074|DNA integration"
"LOC105423461","extracellular serine/threonine protein CG31145-like",NA,NA
"LOC105423938","stromal interaction molecule homolog","PF16533|STIM1 Orai1-activating region; PF07647|SAM domain (Sterile alpha motif)","GO:0005515|protein binding"
"LOC105423938","stromal interaction molecule homolog","PF16533|STIM1 Orai1-activating region; PF07647|SAM domain (Sterile alpha motif)","GO:0005515|protein binding"
"LOC105423939","lutropin-choriogonadotropic hormone receptor","PF13855|Leucine rich repeat; PF00001|7 transmembrane receptor (rhodopsin family)","GO:0005515|protein binding; GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane"
"LOC105423940","DNA topoisomerase 3-beta-1, partial","PF01131|DNA topoisomerase; PF01751|Toprim domain","GO:0003677|DNA binding; GO:0003916|DNA topoisomerase activity; GO:0006265|DNA topological change"
"LOC105422658","baculoviral IAP repeat-containing protein 7-A isoform X2","PF13920|Zinc finger, C3HC4 type (RING finger); PF00653|Inhibitor of Apoptosis domain",NA
"LOC105422658","baculoviral IAP repeat-containing protein 7-A isoform X1","PF13920|Zinc finger, C3HC4 type (RING finger); PF00653|Inhibitor of Apoptosis domain",NA
"LOC105422657","death-associated inhibitor of apoptosis 1-like isoform X1","PF00653|Inhibitor of Apoptosis domain",NA
"LOC105422657","death-associated inhibitor of apoptosis 1-like isoform X3","PF00653|Inhibitor of Apoptosis domain",NA
"LOC105422657","death-associated inhibitor of apoptosis 1-like isoform X2","PF00653|Inhibitor of Apoptosis domain",NA
"LOC105422657","death-associated inhibitor of apoptosis 1-like isoform X4","PF00653|Inhibitor of Apoptosis domain",NA
"LOC105422659","baculoviral IAP repeat-containing protein 7-B-like isoform X1","PF00653|Inhibitor of Apoptosis domain; PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105422659","baculoviral IAP repeat-containing protein 3-like isoform X2","PF00653|Inhibitor of Apoptosis domain; PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105422663","histone-lysine N-methyltransferase SETMAR-like","PF17906|HTH domain in Mos1 transposase",NA
"LOC105422664","histone-lysine N-methyltransferase SETMAR-like",NA,NA
"LOC105422660","uncharacterized protein LOC105422660",NA,NA
"LOC105422661","vang-like protein 2 isoform X2","PF06638|Strabismus protein","GO:0007275|multicellular organism development; GO:0016021|integral component of membrane"
"LOC105422661","vang-like protein 2 isoform X1","PF06638|Strabismus protein","GO:0007275|multicellular organism development; GO:0016021|integral component of membrane"
"LOC105423482","myotubularin-related protein 10-B isoform X1","PF12578|Myotubularin-associated protein; PF06602|Myotubularin-like phosphatase domain",NA
"LOC105423482","myotubularin-related protein 10-B isoform X2","PF12578|Myotubularin-associated protein; PF06602|Myotubularin-like phosphatase domain",NA
"LOC105423482","myotubularin-related protein 10-B isoform X3","PF12578|Myotubularin-associated protein; PF06602|Myotubularin-like phosphatase domain",NA
"LOC105422483","semaphorin-1A isoform X2","PF01403|Sema domain; PF01437|Plexin repeat","GO:0005515|protein binding"
"LOC105422483","semaphorin-1A isoform X3","PF01403|Sema domain; PF01437|Plexin repeat","GO:0005515|protein binding"
"LOC105422483","semaphorin-1A isoform X1","PF01403|Sema domain; PF01437|Plexin repeat","GO:0005515|protein binding"
"LOC105422484","LOW QUALITY PROTEIN: tyrosine-protein kinase-like otk","PF07679|Immunoglobulin I-set domain; PF13927|Immunoglobulin domain; PF07714|Protein tyrosine and serine/threonine kinase","GO:0004672|protein kinase activity; GO:0006468|protein phosphorylation"
"LOC105422485","LOW QUALITY PROTEIN: homeobox protein OTX2-B-like","PF00046|Homeodomain","GO:0003677|DNA binding"
"LOC105422559","homeobox protein OTX-like, partial","PF00046|Homeodomain","GO:0003677|DNA binding"
"LOC105422487","sodium-coupled monocarboxylate transporter 1-like","PF00474|Sodium:solute symporter family","GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105422487","sodium-coupled monocarboxylate transporter 1-like","PF00474|Sodium:solute symporter family","GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105422487","sodium-coupled monocarboxylate transporter 1-like","PF00474|Sodium:solute symporter family","GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105433064","retinol dehydrogenase 13-like isoform X3","PF00106|short chain dehydrogenase; PF03145|Seven in absentia protein family","GO:0016491|oxidoreductase activity; GO:0005737|cytoplasm; GO:0006511|ubiquitin-dependent protein catabolic process; GO:0007275|multicellular organism development"
